"year","reg","stat","sex","s.age","length","mean","sd","n","se"
"245",1966,"2B ",121,"F",11,"length",122,0,1,0
"246",1966,"2B ",121,"F",12,"length",136,0,1,0
"247",1966,"2B ",121,"F",15,"length",152.5,4.94974746830583,2,3.5
"248",1966,"2B ",121,"F",16,"length",153,0,1,0
"249",1966,"2B ",121,"M",9,"length",91,14.1067359796659,3,8.14452781524708
"250",1966,"2B ",130,"F",8,"length",78,0,1,0
"251",1966,"2B ",130,"F",16,"length",148,0,1,0
"252",1966,"2B ",130,"M",11,"length",97,0,1,0
"253",1966,"2B ",132,"F",8,"length",115,0,1,0
"254",1966,"2B ",132,"F",10,"length",103,0,1,0
"255",1966,"2B ",132,"F",16,"length",154,0,1,0
"256",1966,"2B ",132,"M",8,"length",79,0,1,0
"257",1966,"2B ",132,"M",9,"length",73,0,1,0
"258",1966,"2B ",133,"F",12,"length",122,0,1,0
"259",1966,"2B ",133,"M",8,"length",90,0,1,0
"260",1966,"2B ",133,"M",9,"length",73,0,1,0
"261",1966,"2B ",134,"F",10,"length",101,0,1,0
"262",1966,"2B ",134,"M",8,"length",74,0,1,0
"263",1976,"2B ",102,"F",11,"length",95,0,1,0
"264",1976,"2B ",102,"F",12,"length",140,0,1,0
"265",1976,"2B ",112,"M",9,"length",82,4.24264068711928,2,3
"266",1976,"2B ",112,"M",10,"length",80,0,1,0
"267",1976,"2B ",112,"M",12,"length",95,0,1,0
"268",1976,"2B ",132,"M",9,"length",75,0,1,0
"269",1976,"2B ",133,"F",7,"length",101.5,20.5060966544099,2,14.5
"270",1976,"2B ",133,"F",8,"length",90,0,1,0
"271",1976,"2B ",133,"F",9,"length",110,0,1,0
"272",1976,"2B ",133,"F",11,"length",103,0,1,0
"273",1976,"2B ",133,"F",14,"length",128,0,1,0
"274",1976,"3A ",260,"F",10,"length",127,0,1,0
"275",1976,"3A ",260,"M",7,"length",61,0,1,0
"276",1976,"3A ",270,"F",7,"length",67,0,1,0
"277",1976,"3A ",270,"M",7,"length",68,0,1,0
"278",1976,"3A ",270,"M",8,"length",58,0,1,0
"279",1976,"3A ",280,"F",7,"length",64,0,1,0
"280",1977,"2B ",102,"M",8,"length",78,0,1,0
"281",1977,"2B ",102,"M",13,"length",82,0,1,0
"282",1977,"2B ",112,"F",10,"length",93,0,1,0
"283",1977,"2B ",112,"M",8,"length",80,0,1,0
"284",1977,"2B ",132,"F",8,"length",70.5,2.12132034355964,2,1.5
"285",1977,"2B ",132,"M",11,"length",78,0,1,0
"286",1977,"2B ",132,"M",12,"length",78,0,1,0
"287",1977,"2B ",133,"F",8,"length",116,0,1,0
"288",1977,"2B ",133,"F",10,"length",103,0,1,0
"289",1977,"3A ",250,"F",7,"length",78.3333333333333,18.9296944860009,3,10.92906420717
"290",1977,"3A ",250,"F",10,"length",119.5,19.2613602842582,4,9.63068014212911
"291",1977,"3A ",250,"F",11,"length",122,0,1,0
"292",1977,"3A ",250,"F",12,"length",136,0,1,0
"293",1977,"3A ",250,"F",14,"length",147,0,1,0
